Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-10-20,Vancouver Canucks,3,Minnesota Wild,4,OT,17323,2:29,
2022-10-20,Arizona Coyotes,2,Montreal Canadiens,6,,20691,2:28,
2022-10-20,New Jersey Devils,4,New York Islanders,1,,16046,2:22,
2022-10-20,San Jose Sharks,3,New York Rangers,2,OT,17083,2:27,
2022-10-20,Washington Capitals,2,Ottawa Senators,5,,14210,2:28,
2022-10-20,Los Angeles Kings,1,Pittsburgh Penguins,6,,17136,2:27,
2022-10-20,Dallas Stars,2,Toronto Maple Leafs,3,OT,18488,2:50,
2022-10-20,Winnipeg Jets,2,Vegas Golden Knights,5,,17777,2:19,
2022-10-21,Detroit Red Wings,3,Chicago Blackhawks,4,OT,18753,2:31,
2022-10-21,Seattle Kraken,3,Colorado Avalanche,2,,18131,2:26,
2022-10-21,Tampa Bay Lightning,3,Florida Panthers,2,OT,17531,2:44,
2022-10-22,Minnesota Wild,3,Boston Bruins,4,OT,17850,2:42,
2022-10-22,Pittsburgh Penguins,6,Columbus Blue Jackets,3,,18051,2:35,
2022-10-22,Carolina Hurricanes,2,Calgary Flames,3,OT,17210,2:27,
2022-10-22,St. Louis Blues,2,Edmonton Oilers,0,,17102,2:12,
2022-10-22,Dallas Stars,5,Montreal Canadiens,2,,21105,2:26,
2022-10-22,San Jose Sharks,1,New Jersey Devils,2,,11037,2:31,
2022-10-22,Philadelphia Flyers,3,Nashville Predators,1,,17470,2:34,
2022-10-22,Arizona Coyotes,2,Ottawa Senators,6,,15107,2:29,
2022-10-22,New York Islanders,3,Tampa Bay Lightning,5,,19092,2:29,
2022-10-22,Buffalo Sabres,5,Vancouver Canucks,1,,18809,2:26,
2022-10-22,Colorado Avalanche,3,Vegas Golden Knights,2,,18207,2:29,
2022-10-22,Toronto Maple Leafs,4,Winnipeg Jets,1,,15325,2:23,
2022-10-22,Los Angeles Kings,3,Washington Capitals,4,,18573,2:26,
2022-10-23,Seattle Kraken,4,Chicago Blackhawks,5,,14892,2:26,
