,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,23.0,28.0,18.0,13.0,244.0,209.0,Yes
1,Philadelphia Flyers,20.0,24.0,21.0,17.0,264.0,238.0,Yes
2,Los Angeles Kings,16.0,18.0,25.0,23.0,207.0,234.0,No
3,Tampa Bay Lightning,12.0,12.0,29.0,29.0,210.0,279.0,No
4,Boston Bruins,24.0,29.0,17.0,12.0,274.0,196.0,Yes
5,New York Rangers,17.0,26.0,24.0,15.0,210.0,218.0,Yes
6,Pittsburgh Penguins,20.0,25.0,21.0,16.0,264.0,239.0,Yes
7,Detroit Red Wings,24.0,27.0,17.0,14.0,295.0,244.0,Yes
8,San Jose Sharks,21.0,32.0,20.0,9.0,257.0,204.0,Yes
9,Nashville Predators,16.0,24.0,25.0,17.0,213.0,233.0,No
10,Vancouver Canucks,21.0,24.0,20.0,17.0,246.0,220.0,Yes
11,Chicago Blackhawks,22.0,24.0,19.0,17.0,264.0,216.0,Yes
12,Ottawa Senators,14.0,22.0,27.0,19.0,217.0,237.0,No
13,Montreal Canadiens,17.0,24.0,24.0,17.0,249.0,247.0,Yes
14,Minnesota Wild,17.0,23.0,24.0,18.0,219.0,200.0,No
15,Washington Capitals,21.0,29.0,20.0,12.0,272.0,245.0,Yes
16,St Louis Blues,18.0,23.0,23.0,18.0,233.0,233.0,Yes
17,Anaheim Ducks,22.0,20.0,19.0,21.0,245.0,238.0,Yes
18,Phoenix Coyotes,13.0,23.0,28.0,18.0,208.0,252.0,No
19,New York Islanders,9.0,17.0,32.0,24.0,201.0,279.0,No
20,Toronto Maple Leafs,18.0,16.0,23.0,25.0,250.0,293.0,No
21,Florida Panthers,19.0,22.0,22.0,19.0,234.0,231.0,No
22,Buffalo Sabres,18.0,23.0,23.0,18.0,250.0,234.0,No
23,Calgary Flames,19.0,27.0,22.0,14.0,254.0,248.0,Yes
24,Colorado Avalanche,14.0,18.0,27.0,23.0,199.0,257.0,No
25,Dallas Stars,16.0,20.0,25.0,21.0,230.0,257.0,No
26,Columbus Blue Jackets,16.0,25.0,25.0,16.0,226.0,230.0,Yes
27,Winnipeg Jets,0.0,0.0,0.0,0.0,0.0,0.0,No
28,Edmonton Oilers,20.0,18.0,21.0,23.0,234.0,248.0,No
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,19.0,26.0,22.0,15.0,239.0,226.0,Yes
31,Arizona Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
32,Atlanta Thrashers,17.0,18.0,24.0,23.0,257.0,280.0,No
