,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,13.0,19.0,28.0,22.0,181.0,216.0,No
1,Philadelphia Flyers,10.0,23.0,31.0,18.0,215.0,234.0,No
2,Los Angeles Kings,15.0,25.0,26.0,16.0,220.0,205.0,No
3,Tampa Bay Lightning,18.0,32.0,23.0,9.0,262.0,211.0,Yes
4,Boston Bruins,17.0,24.0,24.0,17.0,213.0,211.0,No
5,New York Rangers,28.0,25.0,13.0,16.0,252.0,192.0,Yes
6,Pittsburgh Penguins,20.0,23.0,21.0,18.0,221.0,210.0,Yes
7,Detroit Red Wings,21.0,22.0,20.0,19.0,235.0,221.0,Yes
8,San Jose Sharks,21.0,19.0,20.0,22.0,228.0,232.0,No
9,Nashville Predators,19.0,28.0,22.0,13.0,232.0,208.0,Yes
10,Vancouver Canucks,24.0,24.0,17.0,17.0,242.0,222.0,Yes
11,Chicago Blackhawks,24.0,24.0,17.0,17.0,229.0,189.0,Yes
12,Ottawa Senators,20.0,23.0,21.0,18.0,238.0,215.0,Yes
13,Montreal Canadiens,24.0,26.0,17.0,15.0,221.0,189.0,Yes
14,Minnesota Wild,24.0,22.0,17.0,19.0,231.0,201.0,Yes
15,Washington Capitals,22.0,23.0,19.0,18.0,242.0,203.0,Yes
16,St Louis Blues,24.0,27.0,17.0,14.0,248.0,201.0,Yes
17,Anaheim Ducks,25.0,26.0,16.0,15.0,236.0,226.0,Yes
18,Phoenix Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
19,New York Islanders,22.0,25.0,19.0,16.0,252.0,230.0,Yes
20,Toronto Maple Leafs,8.0,22.0,33.0,19.0,211.0,262.0,No
21,Florida Panthers,17.0,21.0,24.0,20.0,206.0,223.0,No
22,Buffalo Sabres,9.0,14.0,32.0,27.0,161.0,274.0,No
23,Calgary Flames,22.0,23.0,19.0,18.0,241.0,216.0,Yes
24,Colorado Avalanche,16.0,23.0,25.0,18.0,219.0,227.0,No
25,Dallas Stars,24.0,17.0,17.0,24.0,261.0,260.0,No
26,Columbus Blue Jackets,23.0,19.0,18.0,22.0,236.0,250.0,No
27,Winnipeg Jets,20.0,23.0,21.0,18.0,230.0,210.0,Yes
28,Edmonton Oilers,9.0,15.0,32.0,26.0,198.0,283.0,No
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,12.0,18.0,29.0,23.0,188.0,226.0,No
31,Arizona Coyotes,13.0,11.0,28.0,30.0,170.0,272.0,No
32,Atlanta Thrashers,0.0,0.0,0.0,0.0,0.0,0.0,No
