,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,12.0,16.0,29.0,25.0,183.0,244.0,No
1,Philadelphia Flyers,14.0,25.0,27.0,16.0,219.0,236.0,No
2,Los Angeles Kings,16.0,23.0,25.0,18.0,201.0,205.0,No
3,Tampa Bay Lightning,19.0,23.0,22.0,18.0,234.0,227.0,No
4,Boston Bruins,21.0,23.0,20.0,18.0,234.0,212.0,Yes
5,New York Rangers,27.0,21.0,14.0,20.0,256.0,220.0,Yes
6,Pittsburgh Penguins,19.0,31.0,22.0,10.0,282.0,234.0,Yes
7,Detroit Red Wings,16.0,17.0,25.0,24.0,207.0,244.0,No
8,San Jose Sharks,20.0,26.0,21.0,15.0,221.0,201.0,Yes
9,Nashville Predators,17.0,24.0,24.0,17.0,240.0,224.0,Yes
10,Vancouver Canucks,12.0,18.0,29.0,23.0,182.0,243.0,No
11,Chicago Blackhawks,24.0,26.0,17.0,15.0,244.0,213.0,Yes
12,Ottawa Senators,22.0,22.0,19.0,19.0,212.0,214.0,Yes
13,Montreal Canadiens,23.0,24.0,18.0,17.0,226.0,200.0,Yes
14,Minnesota Wild,22.0,27.0,19.0,14.0,266.0,208.0,Yes
15,Washington Capitals,23.0,32.0,18.0,9.0,263.0,182.0,Yes
16,St Louis Blues,22.0,24.0,19.0,17.0,235.0,218.0,Yes
17,Anaheim Ducks,17.0,29.0,24.0,12.0,223.0,200.0,Yes
18,Phoenix Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
19,New York Islanders,19.0,22.0,22.0,19.0,241.0,242.0,No
20,Toronto Maple Leafs,19.0,21.0,22.0,20.0,251.0,242.0,Yes
21,Florida Panthers,16.0,19.0,25.0,22.0,210.0,237.0,No
22,Buffalo Sabres,13.0,20.0,28.0,21.0,201.0,237.0,No
23,Calgary Flames,21.0,24.0,20.0,17.0,226.0,221.0,Yes
24,Colorado Avalanche,9.0,13.0,32.0,28.0,166.0,278.0,No
25,Dallas Stars,12.0,22.0,29.0,19.0,223.0,262.0,No
26,Columbus Blue Jackets,22.0,28.0,19.0,13.0,249.0,195.0,Yes
27,Winnipeg Jets,18.0,22.0,23.0,19.0,249.0,256.0,No
28,Edmonton Oilers,22.0,25.0,19.0,16.0,247.0,212.0,Yes
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,13.0,23.0,28.0,18.0,215.0,236.0,No
31,Arizona Coyotes,12.0,18.0,29.0,23.0,197.0,260.0,No
32,Atlanta Thrashers,0.0,0.0,0.0,0.0,0.0,0.0,No
