,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,21.0,25.0,20.0,16.0,206.0,197.0,Yes
1,Philadelphia Flyers,21.0,21.0,20.0,20.0,248.0,233.0,Yes
2,Los Angeles Kings,15.0,17.0,26.0,24.0,231.0,266.0,No
3,Tampa Bay Lightning,11.0,20.0,30.0,21.0,223.0,267.0,No
4,Boston Bruins,20.0,21.0,21.0,20.0,212.0,222.0,Yes
5,New York Rangers,17.0,25.0,24.0,16.0,213.0,199.0,Yes
6,Pittsburgh Penguins,21.0,26.0,20.0,15.0,247.0,216.0,Yes
7,Detroit Red Wings,25.0,29.0,16.0,12.0,257.0,184.0,Yes
8,San Jose Sharks,27.0,22.0,14.0,19.0,222.0,193.0,Yes
9,Nashville Predators,18.0,23.0,23.0,18.0,230.0,229.0,Yes
10,Vancouver Canucks,18.0,21.0,23.0,20.0,213.0,215.0,No
11,Chicago Blackhawks,17.0,23.0,24.0,18.0,239.0,235.0,No
12,Ottawa Senators,21.0,22.0,20.0,19.0,261.0,247.0,Yes
13,Montreal Canadiens,25.0,22.0,16.0,19.0,262.0,222.0,Yes
14,Minnesota Wild,19.0,25.0,22.0,16.0,223.0,218.0,Yes
15,Washington Capitals,20.0,23.0,21.0,18.0,242.0,231.0,Yes
16,St Louis Blues,13.0,20.0,28.0,21.0,205.0,237.0,No
17,Anaheim Ducks,19.0,28.0,22.0,13.0,205.0,191.0,Yes
18,Phoenix Coyotes,21.0,17.0,20.0,24.0,214.0,231.0,No
19,New York Islanders,17.0,18.0,24.0,23.0,194.0,243.0,No
20,Toronto Maple Leafs,18.0,18.0,23.0,23.0,231.0,260.0,No
21,Florida Panthers,20.0,18.0,21.0,23.0,216.0,226.0,No
22,Buffalo Sabres,19.0,20.0,22.0,21.0,255.0,242.0,No
23,Calgary Flames,21.0,21.0,20.0,20.0,229.0,227.0,Yes
24,Colorado Avalanche,17.0,27.0,24.0,14.0,231.0,219.0,Yes
25,Dallas Stars,22.0,23.0,19.0,18.0,242.0,207.0,Yes
26,Columbus Blue Jackets,14.0,20.0,27.0,21.0,193.0,218.0,No
27,Winnipeg Jets,0.0,0.0,0.0,0.0,0.0,0.0,No
28,Edmonton Oilers,18.0,23.0,23.0,18.0,235.0,251.0,No
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,19.0,24.0,22.0,17.0,252.0,249.0,No
31,Arizona Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
32,Atlanta Thrashers,15.0,19.0,26.0,22.0,216.0,272.0,No
