,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,21.0,27.0,20.0,14.0,222.0,191.0,Yes
1,Philadelphia Flyers,17.0,24.0,24.0,17.0,236.0,225.0,Yes
2,Los Angeles Kings,24.0,22.0,17.0,19.0,241.0,219.0,Yes
3,Tampa Bay Lightning,13.0,21.0,28.0,20.0,217.0,260.0,No
4,Boston Bruins,21.0,18.0,20.0,23.0,206.0,200.0,Yes
5,New York Rangers,20.0,18.0,21.0,23.0,222.0,218.0,No
6,Pittsburgh Penguins,22.0,25.0,19.0,16.0,257.0,237.0,Yes
7,Detroit Red Wings,19.0,25.0,22.0,16.0,229.0,216.0,Yes
8,San Jose Sharks,24.0,27.0,17.0,14.0,264.0,215.0,Yes
9,Nashville Predators,23.0,24.0,18.0,17.0,225.0,225.0,Yes
10,Vancouver Canucks,19.0,30.0,22.0,11.0,272.0,222.0,Yes
11,Chicago Blackhawks,23.0,29.0,18.0,12.0,271.0,209.0,Yes
12,Ottawa Senators,18.0,26.0,23.0,15.0,225.0,238.0,Yes
13,Montreal Canadiens,19.0,20.0,22.0,21.0,217.0,223.0,Yes
14,Minnesota Wild,13.0,25.0,28.0,16.0,219.0,246.0,No
15,Washington Capitals,24.0,30.0,17.0,11.0,318.0,233.0,Yes
16,St Louis Blues,22.0,18.0,19.0,23.0,225.0,223.0,No
17,Anaheim Ducks,14.0,25.0,27.0,16.0,238.0,251.0,No
18,Phoenix Coyotes,21.0,29.0,20.0,12.0,225.0,202.0,Yes
19,New York Islanders,11.0,23.0,30.0,18.0,222.0,264.0,No
20,Toronto Maple Leafs,12.0,18.0,29.0,23.0,214.0,267.0,No
21,Florida Panthers,16.0,16.0,25.0,25.0,208.0,244.0,No
22,Buffalo Sabres,20.0,25.0,21.0,16.0,235.0,207.0,Yes
23,Calgary Flames,20.0,20.0,21.0,21.0,204.0,210.0,No
24,Colorado Avalanche,19.0,24.0,22.0,17.0,244.0,233.0,Yes
25,Dallas Stars,14.0,23.0,27.0,18.0,237.0,254.0,No
26,Columbus Blue Jackets,12.0,20.0,29.0,21.0,216.0,259.0,No
27,Winnipeg Jets,0.0,0.0,0.0,0.0,0.0,0.0,No
28,Edmonton Oilers,9.0,18.0,32.0,23.0,214.0,284.0,No
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,14.0,21.0,27.0,20.0,230.0,256.0,No
31,Arizona Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
32,Atlanta Thrashers,16.0,19.0,25.0,22.0,234.0,256.0,No
